City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
9,Basco,PH,78.89,few clouds,20.4487,121.9702,Nathaniel's Lodge
10,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
16,Lorengau,PG,79.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
25,Rikitea,PF,78.55,light rain,-23.1203,-134.9692,Pension Maro'i
38,Rocha,UY,76.87,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
43,Macapa,BR,89.6,broken clouds,0.0389,-51.0664,Atalanta Hotel
48,Soyo,AO,87.8,few clouds,-6.1349,12.3689,Hotel Mpampa
52,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
60,Arraial Do Cabo,BR,89.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
61,Butaritari,KI,80.85,light rain,3.0707,172.7902,Isles Sunset Lodge
64,Faanui,PF,82.47,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Castro,BR,81.03,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
70,Atuona,PF,80.6,overcast clouds,-9.8,-139.0333,Villa Enata
74,Anse-Bertrand,GP,82.4,scattered clouds,16.4721,-61.5078,Le Domharry
75,Hithadhoo,MV,83.68,overcast clouds,-0.6,73.0833,Scoop Guest House
80,Port Hedland,AU,82.4,clear sky,-20.3167,118.5667,The Esplanade Hotel
81,Acapulco,MX,78.8,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
87,Alto Piquiri,BR,85.68,overcast clouds,-24.0281,-53.4406,Hotel Frison
99,Vao,NC,77.79,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
101,Chuy,UY,76.66,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
105,Ocala,US,87.8,clear sky,29.1872,-82.1401,Golden Palms Inn & Suites
106,Neiafu,TO,78.8,few clouds,-18.65,-173.9833,Mystic Sands
107,La Asuncion,VE,79.23,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
112,Takoradi,GH,84.58,broken clouds,4.8845,-1.7554,Raybow International Hotel
115,Pauini,BR,85.6,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
122,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
124,Cap Malheureux,MU,82.0,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
125,Saint-Philippe,RE,78.8,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
126,Tautira,PF,77.0,light rain,-17.7333,-149.15,Pension Oaoa
127,Isangel,VU,77.05,clear sky,-19.55,169.2667,Volcano Sea View Tree House
135,Casablanca,MA,75.2,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
138,Karratha,AU,83.61,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
142,Buala,SB,80.11,light rain,-8.145,159.5921,Maringe Lagoon Lodge
143,Cayenne,GF,87.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
148,Victoria,HK,75.0,clear sky,22.2855,114.1577,Mini Hotel Central
153,Alta Floresta,BR,83.44,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
155,Cidreira,BR,78.84,light rain,-30.1811,-50.2056,Hotel Castelo
156,Tan An,VN,82.4,few clouds,10.5333,106.4167,Khách Sạn Quỳnh Anh
159,Sibu,MY,78.8,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
163,Kirakira,SB,80.26,overcast clouds,-10.4544,161.9205,SanBiz Lodge
165,Azamgarh,IN,81.43,clear sky,26.06,83.1861,Spring Hills
167,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
172,Cape Coast,GH,84.16,broken clouds,5.1053,-1.2466,Samrit Hotel
175,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
176,Vila Velha,BR,88.0,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
179,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
189,Taybad,IR,80.17,broken clouds,34.74,60.7756,لی پوش jean center
192,Sinnamary,GF,80.58,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
196,Sola,VU,82.54,overcast clouds,-13.8833,167.55,Leumerus Bungalows
199,Mitsamiouli,KM,83.37,overcast clouds,-11.3847,43.2844,Foyer ADM
200,Kerema,PG,79.39,broken clouds,-7.9631,145.7785,Frena Lodge
204,Manjacaze,MZ,78.12,clear sky,-24.7117,33.8828,Hotel Gani
206,Belmonte,BR,84.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
212,Jacksonville,US,79.0,mist,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
223,Mahajanga,MG,86.0,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
231,Sao Joao Da Barra,BR,87.8,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
237,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
239,Porto Novo,BJ,89.6,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
243,Kavaratti,IN,84.49,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
244,Beira,MZ,86.0,few clouds,-19.8436,34.8389,Beira Terrace Hotel
245,Jimani,DO,86.0,clear sky,18.4917,-71.8502,HOTEL LA TORRE
246,Jijiga,ET,76.89,few clouds,9.35,42.8,RAMAAS HOTEL
247,San Ciro De Acosta,MX,77.68,scattered clouds,21.6333,-99.8167,Hotel Maria Isabel
251,Samarai,PG,83.28,overcast clouds,-10.6167,150.6667,Nuli Sapi
252,Salalah,OM,84.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
254,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
259,Padang,ID,80.6,scattered clouds,-0.9492,100.3543,Mercure Padang
260,Yulara,AU,75.2,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
262,Poum,NC,80.4,broken clouds,-20.2333,164.0167,Gîte kajeon
263,The Valley,AI,82.4,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
265,Alofi,NU,78.8,light rain,-19.0595,-169.9187,Taloa Heights
271,San Patricio,US,77.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
273,Kencong,ID,77.61,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
274,Biak,ID,77.05,overcast clouds,-0.9131,122.8766,Penginapan Kim
277,Cantaura,VE,84.9,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
281,Dwarka,IN,80.51,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
282,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
284,Namibe,AO,82.4,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
291,Gigmoto,PH,78.84,broken clouds,13.7796,124.39,Cj's Travellers Inn
292,Kavieng,PG,80.78,moderate rain,-2.5744,150.7967,Nusa Island Retreat
295,Alvorada,BR,89.89,few clouds,-12.48,-49.1247,Cristal Plaza Hotel
301,Caravelas,BR,87.93,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
303,Sibolga,ID,76.57,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
305,Manta,EC,78.8,broken clouds,-0.95,-80.7333,Balandra Hotel
308,Houma,US,78.01,mist,29.5958,-90.7195,Courtyard by Marriott Houma
311,Vanimo,PG,79.75,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
316,Road Town,VG,84.2,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
322,Mayumba,GA,83.17,overcast clouds,-3.432,10.6554,LIKWALE LODGE
324,Trelew,AR,75.83,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
333,Frontera,MX,82.99,scattered clouds,26.9333,-101.45,Casagrande Hotel
338,Kalemie,CD,76.75,light rain,-5.9475,29.1947,Mahobilali
