City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,78.8,94,20,5.75,few clouds
1,Krasnoselkup,RU,65.7,82.4667,1.74,98,71,9.17,broken clouds
2,Lins,BR,-21.6786,-49.7425,90.59,40,77,3.65,broken clouds
3,East London,ZA,-33.0153,27.9116,68.0,60,0,24.16,clear sky
4,Tessalit,ML,20.1986,1.0114,88.05,4,0,16.96,clear sky
5,Markova,UA,48.6758,24.4138,62.6,34,0,6.71,clear sky
6,Constitucion,CL,-35.3333,-72.4167,68.59,36,42,7.0,scattered clouds
7,Kapaa,US,22.0752,-159.319,73.4,78,20,14.97,few clouds
8,Prince Rupert,CA,54.3161,-130.3201,44.6,87,90,13.8,light rain
9,Basco,PH,20.4487,121.9702,78.89,86,11,15.82,few clouds
10,Georgetown,MY,5.4112,100.3354,86.0,74,20,10.36,few clouds
11,Bluff,NZ,-46.6,168.3333,57.99,87,75,1.99,broken clouds
12,Taoudenni,ML,22.6783,-3.9836,96.24,5,3,12.75,clear sky
13,Flin Flon,CA,54.7682,-101.865,8.6,85,75,2.3,broken clouds
14,Lagunas,PE,-5.2269,-75.6753,74.57,96,100,1.88,overcast clouds
15,Itoman,JP,26.1247,127.6694,73.4,83,75,17.27,broken clouds
16,Lorengau,PG,-2.0226,147.2712,79.72,84,98,8.19,overcast clouds
17,Gallup,US,35.5281,-108.7426,30.99,86,90,4.29,haze
18,Vyazemskiy,RU,47.5378,134.7525,34.25,98,100,3.0,overcast clouds
19,Coquimbo,CL,-29.9533,-71.3436,60.8,82,40,13.8,scattered clouds
20,Hervey Bay,AU,-25.2986,152.8535,73.99,73,8,3.91,clear sky
21,Yuci,CN,37.6803,112.7319,55.4,47,0,2.24,clear sky
22,Provideniya,RU,64.3833,-173.3,-1.59,100,100,4.21,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,51.8,66,75,8.93,broken clouds
24,Busselton,AU,-33.65,115.3333,59.0,82,60,8.95,broken clouds
25,Rikitea,PF,-23.1203,-134.9692,78.55,73,33,20.09,light rain
26,Arnedo,ES,42.2167,-2.1,64.4,44,0,4.61,clear sky
27,Blacksburg,US,37.2296,-80.4139,64.99,51,1,6.91,clear sky
28,Lagoa,PT,39.05,-27.9833,58.41,83,99,13.31,overcast clouds
29,Tiksi,RU,71.6872,128.8694,7.88,96,100,2.3,overcast clouds
30,Bilibino,RU,68.0546,166.4372,-22.02,99,69,3.91,broken clouds
31,Cape Town,ZA,-33.9258,18.4232,68.0,42,20,20.71,few clouds
32,Punta Arenas,CL,-53.15,-70.9167,57.2,67,75,11.5,broken clouds
33,Saint George,US,37.1041,-113.5841,48.0,49,1,5.75,clear sky
34,Hilo,US,19.7297,-155.09,68.0,68,40,5.75,scattered clouds
35,Albany,US,42.6001,-73.9662,52.0,46,11,3.0,few clouds
36,Coahuayana,MX,18.7333,-103.6833,71.6,53,1,1.28,clear sky
37,Pisco,PE,-13.7,-76.2167,71.6,78,16,8.05,few clouds
38,Rocha,UY,-34.4833,-54.3333,76.87,73,42,3.13,scattered clouds
39,Ukiah,US,39.1502,-123.2078,45.0,81,1,3.44,clear sky
40,Pevek,RU,69.7008,170.3133,-20.92,94,98,3.98,overcast clouds
41,Jamestown,US,42.097,-79.2353,48.99,71,40,6.89,scattered clouds
42,Port Alfred,ZA,-33.5906,26.891,69.94,62,24,24.61,few clouds
43,Macapa,BR,0.0389,-51.0664,89.6,62,75,9.22,broken clouds
44,Ullapool,GB,57.8987,-5.1604,44.01,62,100,10.0,light rain
45,Klyuchi,RU,52.2667,79.1667,35.11,98,100,13.06,overcast clouds
46,Hasaki,JP,35.7333,140.8333,51.8,82,75,4.61,broken clouds
47,Annau,TM,37.8876,58.516,64.4,52,90,6.91,overcast clouds
48,Soyo,AO,-6.1349,12.3689,87.8,66,20,8.05,few clouds
49,Dikson,RU,73.5069,80.5464,-16.04,100,57,8.55,broken clouds
50,Hobart,AU,-42.8794,147.3294,53.6,71,75,10.36,broken clouds
51,Mataura,NZ,-46.1927,168.8643,57.99,87,36,1.99,light rain
52,Bathsheba,BB,13.2167,-59.5167,84.2,54,40,21.85,scattered clouds
53,Roald,NO,62.5833,6.1333,44.6,70,75,13.8,broken clouds
54,Fort Walton Beach,US,30.4058,-86.6188,70.0,100,90,9.22,overcast clouds
55,Longyearbyen,SJ,78.2186,15.6401,23.0,74,75,33.38,snow
56,New Norfolk,AU,-42.7826,147.0587,52.0,78,60,3.49,broken clouds
57,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,20,2.3,few clouds
58,Dickinson,US,29.4608,-95.0513,73.99,94,90,6.91,mist
59,Bredasdorp,ZA,-34.5322,20.0403,73.4,38,92,12.66,overcast clouds
60,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,62,0,13.8,clear sky
61,Butaritari,KI,3.0707,172.7902,80.85,79,99,14.94,light rain
62,Magistralnyy,RU,56.1725,107.4458,13.71,94,94,3.74,overcast clouds
63,Ribeira Grande,PT,38.5167,-28.7,62.6,77,75,11.5,broken clouds
64,Faanui,PF,-16.4833,-151.75,82.47,72,32,22.21,light rain
65,Hermanus,ZA,-34.4187,19.2345,66.99,61,57,1.99,broken clouds
66,Mabai,CN,23.0128,104.4508,60.42,96,30,4.05,scattered clouds
67,Markala,ML,13.7021,-6.0659,101.98,6,11,6.78,few clouds
68,Oktyabrskiy,RU,54.4815,53.471,33.48,96,100,10.18,light snow
69,Castro,BR,-24.7911,-50.0119,81.03,49,88,6.15,overcast clouds
70,Atuona,PF,-9.8,-139.0333,80.6,76,100,19.46,overcast clouds
71,Kondinskoye,RU,59.6481,67.41,26.85,87,99,11.83,overcast clouds
72,San Luis,AR,-33.295,-66.3356,59.79,49,1,7.72,clear sky
73,Torbay,CA,47.6666,-52.7314,30.99,100,90,28.77,snow
74,Anse-Bertrand,GP,16.4721,-61.5078,82.4,61,40,17.27,scattered clouds
75,Hithadhoo,MV,-0.6,73.0833,83.68,72,93,10.42,overcast clouds
76,Lebu,CL,-37.6167,-73.65,59.63,65,91,18.41,overcast clouds
77,Pitlochry,GB,56.7051,-3.7343,45.0,73,100,21.0,overcast clouds
78,Sikeston,US,36.8767,-89.5879,64.4,72,1,5.75,clear sky
79,Glendive,US,47.1053,-104.7125,33.01,80,90,6.91,overcast clouds
80,Port Hedland,AU,-20.3167,118.5667,82.4,83,0,6.91,clear sky
81,Acapulco,MX,16.8634,-99.8901,78.8,73,1,4.61,clear sky
82,Bethel,US,41.3712,-73.414,57.99,41,1,3.44,clear sky
83,Grenaa,DK,56.4158,10.8783,44.6,87,20,6.91,few clouds
84,Katsuura,JP,35.1333,140.3,61.0,72,75,10.36,broken clouds
85,Gibsons,CA,49.3997,-123.5027,44.01,87,94,2.3,overcast clouds
86,Tirano,IT,46.2154,10.1679,45.0,75,40,13.8,scattered clouds
87,Alto Piquiri,BR,-24.0281,-53.4406,85.68,52,99,9.89,overcast clouds
88,Megion,RU,61.0296,76.1136,32.0,93,20,4.47,light snow
89,Kodiak,US,57.79,-152.4072,30.2,43,1,18.41,clear sky
90,Sept-Iles,CA,50.2001,-66.3821,28.0,38,75,9.22,broken clouds
91,Barra Patuca,HN,15.8,-84.2833,78.82,78,88,12.06,overcast clouds
92,Huambo,AO,-12.7761,15.7392,68.04,82,92,3.74,light rain
93,Dandong,CN,40.1292,124.3947,45.36,87,100,4.74,light rain
94,Ancud,CL,-41.8697,-73.8203,62.01,100,40,4.61,scattered clouds
95,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,42,0,13.8,clear sky
96,Barrow,US,71.2906,-156.7887,-16.6,76,1,5.75,clear sky
97,Gamba,GA,-2.65,10.0,82.44,69,100,5.55,overcast clouds
98,Geraldton,AU,-28.7667,114.6,68.0,77,3,11.5,clear sky
99,Vao,NC,-22.6667,167.4833,77.79,79,4,11.83,clear sky
100,Abha,SA,18.2164,42.5053,73.4,43,0,11.5,clear sky
101,Chuy,UY,-33.6971,-53.4616,76.66,76,81,2.75,broken clouds
102,Leningradskiy,RU,69.3833,178.4167,-19.91,91,20,6.51,few clouds
103,Praia Da Vitoria,PT,38.7333,-27.0667,66.2,63,40,3.2,scattered clouds
104,Mangan,IN,27.5167,88.5333,66.25,32,0,6.64,clear sky
105,Ocala,US,29.1872,-82.1401,87.8,55,1,5.75,clear sky
106,Neiafu,TO,-18.65,-173.9833,78.8,89,20,9.22,few clouds
107,La Asuncion,VE,11.0333,-63.8628,79.23,74,100,14.14,overcast clouds
108,Safaga,EG,26.7292,33.9365,71.6,30,0,14.97,clear sky
109,Dargaville,NZ,-35.9333,173.8833,66.07,74,100,7.76,light rain
110,Ola,RU,59.5833,151.2833,-5.21,99,97,4.76,overcast clouds
111,Ketchikan,US,55.3422,-131.6461,42.8,100,90,16.11,heavy intensity rain
112,Takoradi,GH,4.8845,-1.7554,84.58,69,64,10.51,broken clouds
113,Nikolskoye,RU,59.7035,30.7861,50.0,53,0,6.71,clear sky
114,Coihaique,CL,-45.5752,-72.0662,60.8,55,75,4.61,broken clouds
115,Pauini,BR,-7.7136,-66.9764,85.6,64,65,3.15,broken clouds
116,Mehamn,NO,71.0357,27.8492,37.87,88,100,18.97,overcast clouds
117,Lazarev,RU,52.225,141.5131,7.47,97,56,5.75,broken clouds
