City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Atuona,100,PF,2021-03-28 16:54:28,71,-9.8,-139.0333,81.16,18.01
1,Puerto Del Rosario,40,ES,2021-03-28 16:54:29,64,28.5004,-13.8627,71.6,18.41
2,Vaini,75,TO,2021-03-28 16:54:29,100,-21.2,-175.2,77.0,8.05
3,Cape Town,0,ZA,2021-03-28 16:54:29,56,-33.9258,18.4232,75.99,9.22
4,Pevek,34,RU,2021-03-28 16:54:29,98,69.7008,170.3133,-20.27,1.45
5,Bluff,100,NZ,2021-03-28 16:54:30,97,-46.6,168.3333,53.01,4.56
6,Ushuaia,40,AR,2021-03-28 16:51:19,57,-54.8,-68.3,46.4,33.38
7,Orumiyeh,0,IR,2021-03-28 16:54:30,55,37.5527,45.0761,35.6,2.46
8,Albany,100,US,2021-03-28 16:54:30,88,42.6001,-73.9662,50.0,12.8
9,Turayf,0,SA,2021-03-28 16:54:31,29,31.6725,38.6637,60.8,6.91
10,Pangnirtung,75,CA,2021-03-28 16:54:31,39,66.1451,-65.7125,5.0,2.48
11,Namibe,69,AO,2021-03-28 16:54:31,72,-15.1961,12.1522,74.77,12.66
12,Salisbury,75,GB,2021-03-28 16:54:32,76,51.0693,-1.7957,53.6,24.16
13,Debre Tabor,98,ET,2021-03-28 16:54:32,49,11.85,38.0167,59.74,5.57
14,Punta Arenas,0,CL,2021-03-28 16:54:32,43,-53.15,-70.9167,51.8,23.02
15,Okato,100,NZ,2021-03-28 16:54:32,96,-39.2,173.8833,60.01,13.0
16,Rio Gallegos,0,AR,2021-03-28 16:51:31,28,-51.6226,-69.2181,55.4,25.32
17,Faanui,52,PF,2021-03-28 16:54:33,74,-16.4833,-151.75,82.04,21.92
18,Thompson,75,CA,2021-03-28 16:54:07,58,55.7435,-97.8558,19.4,3.44
19,Rikitea,11,PF,2021-03-28 16:51:21,75,-23.1203,-134.9692,78.42,16.51
20,Linhares,0,BR,2021-03-28 16:54:33,40,-19.3911,-40.0722,93.42,1.95
21,Carnarvon,0,AU,2021-03-28 16:54:34,94,-24.8667,113.6333,75.2,4.61
22,Snasa,0,NO,2021-03-28 16:54:34,43,64.2457,12.3778,48.2,10.36
23,Siloam Springs,1,US,2021-03-28 16:51:53,37,36.1881,-94.5405,57.0,14.97
24,Namatanai,99,PG,2021-03-28 16:54:34,79,-3.6667,152.4333,78.89,8.25
25,Puerto Ayora,41,EC,2021-03-28 16:54:35,87,-0.7393,-90.3518,81.0,10.0
26,Hilo,90,US,2021-03-28 16:54:35,88,19.7297,-155.09,66.2,6.91
27,Butaritari,23,KI,2021-03-28 16:54:35,81,3.0707,172.7902,80.15,11.48
28,Geraldton,3,AU,2021-03-28 16:51:54,73,-28.7667,114.6,69.8,1.14
29,Aquiraz,75,BR,2021-03-28 16:54:03,66,-3.9014,-38.3911,87.8,9.22
30,Bredasdorp,100,ZA,2021-03-28 16:54:36,72,-34.5322,20.0403,66.2,14.97
31,Margate,100,GB,2021-03-28 16:54:36,71,51.3813,1.3862,52.0,5.99
32,Saint George,1,US,2021-03-28 16:54:14,40,37.1041,-113.5841,60.01,4.61
33,Bethel,100,US,2021-03-28 16:54:36,96,41.3712,-73.414,51.01,5.99
34,Khandyga,95,RU,2021-03-28 16:54:37,97,62.6667,135.6,11.59,1.95
35,Carauari,100,BR,2021-03-28 16:54:37,86,-4.8828,-66.8958,77.94,2.93
36,Tyup,100,KG,2021-03-28 16:54:37,75,42.7276,78.3648,40.32,6.6
37,Mardin,0,TR,2021-03-28 16:54:37,47,37.3131,40.7436,53.6,9.22
38,Presque Isle,90,US,2021-03-28 16:54:38,93,46.6811,-68.0159,30.2,16.11
39,Longyearbyen,20,SJ,2021-03-28 16:54:38,80,78.2186,15.6401,32.0,14.97
40,Tuktoyaktuk,75,CA,2021-03-28 16:54:38,76,69.4541,-133.0374,-23.8,10.36
41,Ulladulla,31,AU,2021-03-28 16:54:39,100,-35.35,150.4667,59.0,8.05
42,Siocon,90,PH,2021-03-28 16:54:39,82,7.7061,122.1353,79.03,7.31
43,Sinnamary,96,GF,2021-03-28 16:54:39,76,5.3833,-52.95,81.59,15.43
44,Fort Frances,20,CA,2021-03-28 16:50:05,47,48.5999,-93.4003,35.01,10.36
45,Bud,99,US,2021-03-28 16:54:40,76,39.447,-86.1758,43.0,19.93
46,Mar Del Plata,75,AR,2021-03-28 16:54:40,77,-38.0023,-57.5575,68.0,13.8
47,San Patricio,90,US,2021-03-28 16:54:40,72,28.017,-97.5169,68.0,23.02
48,Salalah,0,OM,2021-03-28 16:54:41,61,17.0151,54.0924,84.2,2.3
49,Busselton,0,AU,2021-03-28 16:54:41,91,-33.65,115.3333,59.0,9.42
50,Nikolskoye,0,RU,2021-03-28 16:54:41,87,59.7035,30.7861,43.0,8.95
51,Miri,40,MY,2021-03-28 16:54:42,94,4.4148,114.0089,78.8,3.44
52,Huarmey,78,PE,2021-03-28 16:54:42,72,-10.0681,-78.1522,75.34,9.26
53,Arraial Do Cabo,20,BR,2021-03-28 16:54:42,74,-22.9661,-42.0278,86.0,12.66
54,Hermanus,100,ZA,2021-03-28 16:54:11,71,-34.4187,19.2345,68.0,5.99
55,Porto Novo,20,BJ,2021-03-28 16:51:10,70,6.4965,2.6036,86.0,12.66
56,Mataura,100,NZ,2021-03-28 16:54:43,97,-46.1927,168.8643,53.01,2.68
57,Fort Nelson,90,CA,2021-03-28 16:54:43,85,58.8053,-122.7002,12.2,20.71
58,New Norfolk,65,AU,2021-03-28 16:54:43,65,-42.7826,147.0587,55.0,1.99
59,Todos Santos,100,MX,2021-03-28 16:54:43,66,23.45,-110.2167,69.01,1.99
60,Ocos,1,GT,2021-03-28 16:54:44,51,14.5094,-92.1933,89.6,11.5
61,Leningradskiy,21,RU,2021-03-28 16:54:44,94,69.3833,178.4167,-19.57,3.22
62,Chapais,90,CA,2021-03-28 16:54:44,93,49.7834,-74.8492,30.2,9.22
63,Ancud,20,CL,2021-03-28 16:54:45,68,-41.8697,-73.8203,64.4,14.97
64,Chokurdakh,94,RU,2021-03-28 16:54:45,100,70.6333,147.9167,-16.96,4.18
65,Yurty,100,RU,2021-03-28 16:54:45,93,56.0498,97.6348,27.9,3.91
66,Narsaq,0,GL,2021-03-28 16:54:45,54,60.9167,-46.05,24.8,4.61
67,Kabalo,94,CD,2021-03-28 16:54:46,70,-6.05,26.9167,77.38,3.96
68,Havre-Saint-Pierre,90,CA,2021-03-28 16:54:46,59,50.2334,-63.5986,30.2,8.05
69,Jamestown,90,US,2021-03-28 16:50:43,93,42.097,-79.2353,52.0,8.28
70,Luderitz,4,NA,2021-03-28 16:54:47,79,-26.6481,15.1594,64.74,8.46
71,Springfield,1,US,2021-03-28 16:51:31,46,37.2153,-93.2982,53.01,14.97
72,Sorland,0,NO,2021-03-28 16:54:47,70,67.667,12.6934,41.0,18.41
73,Roald,75,NO,2021-03-28 16:54:47,76,62.5833,6.1333,44.6,14.97
74,Kapaa,90,US,2021-03-28 16:54:48,78,22.0752,-159.319,72.0,19.57
75,Castro,23,BR,2021-03-28 16:54:48,60,-24.7911,-50.0119,78.66,7.18
76,Boksitogorsk,82,RU,2021-03-28 16:54:48,67,59.474,33.8485,37.0,8.41
77,Manga,2,BF,2021-03-28 16:54:48,9,11.6636,-1.0731,98.78,9.82
78,Asyut,0,EG,2021-03-28 16:54:49,39,27.181,31.1837,66.2,17.27
79,Bathsheba,40,BB,2021-03-28 16:54:49,65,13.2167,-59.5167,78.8,17.27
80,Yellowknife,75,CA,2021-03-28 16:54:49,53,62.456,-114.3525,18.0,16.11
81,Paamiut,0,GL,2021-03-28 16:54:50,63,61.994,-49.6678,17.02,23.8
82,Georgetown,40,MY,2021-03-28 16:54:50,89,5.4112,100.3354,80.01,8.05
83,Hobart,90,AU,2021-03-28 16:54:50,50,-42.8794,147.3294,55.4,5.75
84,Pochutla,1,MX,2021-03-28 16:54:51,45,15.7432,-96.4661,91.0,11.5
85,Witu,1,KE,2021-03-28 16:54:51,74,-2.3889,40.4382,82.4,9.22
86,Warrnambool,44,AU,2021-03-28 16:54:51,93,-38.3833,142.4833,55.99,7.29
87,East London,20,ZA,2021-03-28 16:50:29,68,-33.0153,27.9116,64.4,6.91
88,Esperance,0,AU,2021-03-28 16:54:52,88,-33.8667,121.9,60.8,1.14
89,Qaanaaq,33,GL,2021-03-28 16:54:52,78,77.484,-69.3632,-14.66,2.86
90,Hasaki,75,JP,2021-03-28 16:54:52,100,35.7333,140.8333,61.0,16.11
91,Fairbanks,90,US,2021-03-28 16:54:53,78,64.8378,-147.7164,3.2,2.28
92,Bolobo,63,CD,2021-03-28 16:54:53,74,-2.1667,16.2333,79.63,6.2
93,Mwanza,20,TZ,2021-03-28 16:54:53,65,-2.5167,32.9,78.8,8.05
94,Canmore,49,CA,2021-03-28 16:54:37,70,51.0834,-115.3521,44.6,4.61
95,Norman Wells,75,CA,2021-03-28 16:54:53,71,65.282,-126.8329,-5.8,19.57
96,Port Lincoln,4,AU,2021-03-28 16:54:54,80,-34.7333,135.8667,60.64,7.85
97,Saint-Philippe,20,RE,2021-03-28 16:54:54,83,-21.3585,55.7679,80.6,4.61
98,Saldanha,100,ZA,2021-03-28 16:54:54,40,-33.0117,17.9442,73.4,14.97
99,Adrar,57,MR,2021-03-28 16:54:54,4,20.5022,-10.0711,97.45,9.86
